date,time,creek,location,fish,comments,observer
2018-04-01,1PM,Middle,Elk Mtn Road,20,Location is 3 miles upstream from Rancheria Road Bridge;               first confirmed sighting that far above Rancheria Road Bridge,Hodge
2018-04-01,4:30PM,Seigler,off Lake St,50,NA,Brandon
2018-04-01,NA,Seigler,Orchard,100,many schools of CLH; large schools of suckers still               present,Feyrer
2018-03-31,11:45,Adobe,Finley East,100,moving upstream; no spawning activity,Windrem
2018-03-31,11AM,Alley,1445 Pitney Lane,40,"clear, fish tired",Cole-Lewis
2018-03-31,10:30,Alley,Pitney Lane,150+,Chi Council tour; actively spawning in shallow waters,Windrem
2018-03-31,4:45PM,Clover,Pitney Lane,100,NA,Aebly
2018-03-31,NA,Clover,diversion gates,200,"we saw large numbers of hitch apparently swimming               upstream through the gates, which means they came up Clover Creek               from the lake and struggling through some shallow riffles into the               main channel above the diversion point. Clover Creek below the gates               is choked with weeds.",Graziani
2018-03-31,NA,Clover,Pitney Lane,200,"The current is strong in many places, and the fish               get pushed back, circle around and start up again. Some of the groups               spiral around several times before proceeding.",Graziani
2018-03-31,2:30PM,Cooper,Dayle creek,10,presumably hitch,Cox
2018-03-31,4:50PM,Middle,Rancheria Bridge,150,both upstream and downstream,Aebly
2018-03-31,9:30,Middle,Hiway 20,400+,Chi Council tour; some spawning; others resting; 20               suckers,Windrem
2018-03-30,NA,Adobe,SBR,100,NA,Murphy
2018-03-30,NA,Adobe,Finley East,100,NA,Murphy
2018-03-30,12:15PM,Clover,Bridge Arbor,100,NA,Windrem
2018-03-30,12:15PM,Clover,2nd St,25,spawning,Windrem
2018-03-30,1:15PM,Clover bypass,NA,300,active spawning in small schools,Windrem
2018-03-30,7PM,Cooper,Dayle creek,50,presumably hitch,Cox
2018-03-30,NA,kelsey,Hellsbend,400,"I have not seen any schools of more than forty fish,               they are mostly a dozen or so or individuals. Sizes have been all               over the place, lots and LOTS of small males, and females of all               sizes.",Murphy
2018-03-30,NA,Kelsey,below detention,800,NA,Murphy
2018-03-30,NA,Kelsey,above detention,200,NA,Murphy
2018-03-30,NA,Kelsey,merritt,20,NA,Murphy
2018-03-30,NA,kelsey,Main St,0,NA,Murphy
2018-03-30,NA,Kelsey,SBR,100,NA,Murphy
2018-03-30,12PM,Middle,Hwy 20,300,also 40 suckers,Windrem
2018-03-30,1:30PM,Middle,Rancheria Rd,30,in shallow water below bridge; 70+ suckers actively               spawning in gravel above bridge,Windrem
2018-03-30,NA,Seigler,above sewer pipe,10,NA,L Brown
2018-03-30,NA,Seigler,behind Elem office,10,NA,L Brown
2018-03-30,NA,Seigler,Perini,0,suckers observed,L Brown
2018-03-29,NA,Adobe,SBR,300,NA,Ewing
2018-03-29,5:30PM,Cooper,1,0,"Late for viewing, clear water",Lundquist
2018-03-29,5:30PM,Cooper,2,0,"Late for viewing, clear water",Lundquist
2018-03-29,5:30PM,Cooper,3,6,"Water less cloudy than day before, Fish seem to be               stuck here- blackberry brambles in water",Lundquist
2018-03-29,5:30PM,Cooper,4,0,Water less cloudy than day before,Lundquist
2018-03-29,5:30PM,Cooper,5,0,clear water,Lundquist
2018-03-29,5:30PM,Cooper,6,0,clear water,Lundquist
2018-03-29,NA,Kelsey,Hellsbend,300,"a good mix of fish today, all sizes including some               very young males, smaller fish than I had seen in a long time",Murphy
2018-03-29,NA,Kelsey,below detention,300,NA,Murphy
2018-03-29,NA,Kelsey,SBR,12,"also a dozen suckers, no birds at all",Murphy
2018-03-29,NA,Kelsey,above detention,20,"The channels just below the dam are packed with fish,               a lot are going further upstream.",Murphy
2018-03-29,NA,Kelsey,SBR,300,NA,Ewing
2018-03-28,NA,Adobe,Bell Hill,12,NA,Windrem
2018-03-28,NA,Adobe,SBR,250,NA,Ewing
2018-03-28,NA,Adobe,Finley East,25,NA,Ewing
2018-03-28,5:10pm,Adobe,Merritt,0,100's of suckers; beautiful; spawning,Windrem
2018-03-28,5:20pm,Adobe,Bell Hill,50,first hitch seen in this season,Windrem
2018-03-28,2PM,Alley,Pitney Lane,0,6 suckers,Hodge
2018-03-28,NA,Clover Bypass,Elk Mt Rd,0,50 suckers,Rogers
2018-03-28,1PM,Clover bypass,Hwy 20,200,mixed with suckers,Hodge
2018-03-28,7:15PM,Cooper,5,0,"Late for viewing, clear water",Lundquist
2018-03-28,7:15PM,Cooper,4,0,"Late for viewing, clear water",Lundquist
2018-03-28,7:15PM,Cooper,3,6,"Late for viewing, Cloudy water, difficult to see fish,               some large, some smal",Lundquist
2018-03-28,7:15PM,Cooper,2,0,"Late for viewing, Cloudy water, bridge footing may               be a barrier",Lundquist
2018-03-28,7:15PM,Cooper,1,0,"Late for viewing, clear water",Lundquist
2018-03-28,NA,Kelsey,above detention,0,a lot of water flowing over entire face of dam,Murphy
2018-03-28,NA,Kelsey,below detention,200,water still murky green,Murphy
2018-03-28,NA,Kelsey,Hellsbend,35,mixed with suckers,Murphy
2018-03-28,NA,Kelsey,above detention,6,NA,Windrem
2018-03-28,1:30PM,Middle,Hwy 20,200,mixed with suckers,Hodge
2018-03-28,2PM,Middle,Rancheria Bridge,0,30-40 suckers,Hodge
2018-03-27,5PM,Adobe,Merritt,0,100's of suckers spawning; beautiful,Windrem
2018-03-27,5:15PM,Adobe,Bell Hill,50,below culverts; first hitch seen,Windrem
2018-03-27,NA,Kelsey,hellsbend,0,dozen Sac suckers,Murphy
2018-03-27,3:00pM,Kelsey,Detention,0,NA,Windrem
2018-03-27,10:30AM,Seigler,Jessie St,0,about two dozen Sac suckers spawning just above bridge,Brandon
2018-03-26,4PM,Adobe,Soda Bay Road,0,too murky to see,Windrem
2018-03-26,4PM,Kelsey,Detention,0,water running high; color opaque; no fish,Windrem
2018-03-26,3PM,Kelsey,Detention,0,NA,Windrem
2018-03-25,4PM,Adobe,Soda Bay Road,0,NA,Windrem
2018-03-25,4PM,Kelsey,Detention,0,Water running high; opaque color; no fish,Windrem
2018-03-20,NA,Schindler,NA,0,"Unless we get significantly more rain there probably               won't be a run there as it isn't flowing through to the lake right               now, just a few puddles as it gets near the mouth.",Barnes/Rett
2018-03-18,NA,Kelsey,Hellsbend,0,about 100 suckers,Murphy
2018-03-18,NA,Kelsey,SBR,0,water is murky green and flowing a bit fast for the               hitch right now,Murphy
2018-03-17,2:30pM,Adobe,Merritt,0,Al Moorhead reports osprey catches small fish in creek,Windrem
2018-03-17,3:15pm,Adobe,Finley East,0,water murky; too dark to see fish,Windrem
2018-03-17,3:10pm,Kelsey,Detention,0,NA,Windrem
2018-03-16,2:15PM,Adobe,Merritt,0,Al Moorhead reports osprey with fish,Windrem
2018-03-16,3:15pm,Adobe,Finley East,0,Water murky; too dark to see,Windrem
2018-03-16,3:15PM,Kelsey,Detention,0,NA,Windrem
2018-03-08,9:45AM,Burns Valley,Old Hwy 53,0,no water,Kennedy
2018-03-08,10AM,Burns Valley,Olympic/Memory Lane,0,standing water,Kennedy
2018-03-08,11:30AM,Copsey,Copsey Creek Rd,0,"slight flow, clear water",Kennedy
2018-03-08,10:30AM,Molesworth,Old Hwy 53,0,no water,Kennedy
2018-03-08,9:15AM,Schindler,Hwy 20,0,no water flow,Kennedy
2018-03-08,10:45AM,Seigler,Lake St,0,clear water flow,Kennedy
2018-03-08,11AM,Seigler,Hwy 53,0,clear water flow,Kennedy
2018-03-08,11:15AM,Seigler,Hwy 29/Seigler Cyn Rd,0,clear water flow,Kennedy
