creek,location,date,fish,observer,comments
Adobe,Finley East,2008-03-09,0,Moura,
Adobe,Finley East,2008-03-10,150,Smythe,"clear, cool; actively moving upstream"
Adobe,Manning property,2008-03-10,100+,Manning,after dark
Adobe,Soda Bay Rd,2008-03-11,300+,Windrem,
Adobe,Finley East,2008-03-11,30,Smythe,"clear, cool. Merganser in creek"
Adobe,Finley East,2008-03-12,10,Smythe,"partly cloudy, cool. 10 fish at bridge, large school upstream (unable to determine number)"
Adobe,Finley East,2008-03-12,?,Windrem,fish upstream bu can't tell what or how many
Adobe,Finley East,2008-03-13,100,Smythe,"mostly cloudy, cool. Additional fish upstream"
Adobe,SBR,2008-03-13,300,Kolb,
Adobe,Finley East,2008-03-14,300,Smythe,"mostly cloudy, cool"
Adobe,Soda Bay Rd,2008-03-14,300,Geary/Lynch,2 dead and a sheen on top of the water
Adobe,Finley East,2008-03-15,30,Eutenier,
Adobe,Merritt,2008-03-15,200+,Windrem,with Al Moorhead
Adobe,Bell Hill ,2008-03-15,100+,Windrem,
Adobe,Bell Hill,2008-03-15,200,Windrem,field trip
Adobe,Bell Hill,2008-03-15,2,Kolb,upstream from bridge
Adobe,Finley East,2008-03-16,60,Moura,
Adobe,Big Valley Rd,2008-03-16,150,Moura,
Adobe,Hwy 29,2008-03-16,20,Moura,
Adobe,SBR,2008-03-17,200,Windrem,2 mergansers
Adobe,below Highlands Springs dam,2008-03-17,500+,Windrem,
Adobe,Finley East,2008-03-18,100,Smythe,"mostly cloudy, cool"
Adobe,Bell Hill,2008-03-18,200,Devoto,
Adobe,SBR,2008-03-18,400+,Windrem,
Adobe,SBR,2008-03-18,200+,Moura,
Adobe,Soda Bay Rd Bridge,2008-03-18,300,Geary,
Adobe,Finley East,2008-03-19,100,Smythe,"mostly cloudy, cool"
Adobe,Bell Hill,2008-03-20,0,Logsdon,"sunny, breezy"
Adobe,Bell Hill,2008-03-20,30,Kolb,upstream from bridge
Adobe,Finley East,2008-03-21,100,Smythe,"mostly cloudy, cool"
Adobe,SBR,2008-03-21,250,Barnes/Rett,"creek full of hitch, mostly hanging out in the shady areas"
Adobe,Bell Hill,2008-03-23,0,Devoto,none either above or below low water crossing
Adobe,Finley East,2008-03-23,600,Devoto,both above and below bridge
Adobe,Finley East,2008-03-24,100,Smythe,"clear, cool"
Adobe,SBR,2008-03-26,500+,Windrem,large school
Adobe,Finley East,2008-03-26,100,Smythe,"mostly cloudy, cool"
Adobe,Argonaut,2008-03-27,60,Moura,
Adobe,Soda Bay Rd,2008-03-27,200,Moura,
Adobe,Bell Hill,2008-03-27,50,Devoto,"""schooling without much purposel Finally all but 10headed downstream through culvert. 10 still were trapped upstream. Cleched below crossing and all had vanished, probably heading back to lake."""
Adobe,Finley East,2008-03-28,0,Smythe,"mostly cloudy, cool"
Adobe,Bell Hill Rd,2008-03-29,0,Moura,
Adobe,SBR,2008-04-01,0,Windrem,4 mergansers
Adobe,Finley East,2008-04-01,0,Smythe,"mostly cloudy, cool"
Adobe,Finley East,2008-04-04,50,Smythe,"mostly cloudy, cool; school heading downstream"
Adobe,Finley East,2008-04-08,0,Smythe,"clear, cold"
Adobe,Mannng Bridge,2008-04-19,100,Manning,moving downstream
Alley,Pitney Ln Bridge,2008-03-04,0,Geary/Lynch,
Alley,,2008-03-05,0,Lynch/Duncan,
Alley,,2008-03-05,0,Lynch/Duncan,
Alley,,2008-03-07,?,Ruttan,questiionable: may be suckers
Alley,Pitney,2008-03-11,0,Smythe,"clear, warm"
Clover,Elk Mountain Road Bridge,2008-02-05,0,Geary/Lynch,
Clover,Elk Mt. Rd,2008-02-17,0,Windrem,good water
Clover,Middle Creek Rd.,2008-03-04,0,Geary/Lynch,
Clover,Diversion Weir,2008-03-11,0,Smythe,"clear, warm"
Clover,Diversion channel/Middle,2008-03-11,0,Smythe,"clear, warm"
Clover,Elk Mt Rd,2008-03-15,0,Smythe,"Clear, warm"
Clover,2nd St Rd. Bridge,2008-03-18,6,Geary/Potter,Debris stuck in culverts
Clover,Middle Creek Rd.,2008-03-18,0,Geary,A lot of algae
Clover,Elk Mountain Road Bridge,2008-03-18,0,Geary,
Clover,Elk Mt Rd,2008-03-19,0,Windrem,
Clover,below diversion structure,2008-03-24,1,Smythe,"clear, warm; one dead hitch"
Clover,1st St,2008-03-27,30,Kolb,
Clover,1st St,2008-03-27,35+,Kolb,
Clover,1st St,2008-04-01,2,Kolb,
Clover,1st St,2008-04-02,5,Kolb,
Clover,1st St,2008-04-03,0,Kolb,
Clover,2nd St,2008-04-15,25,Ruttan ,reported by levee crew
Cole,Clark,2008-02-17,0,Windrem,
Cole,CLSP,2008-02-22,0,Eutenier,"water slow, full, opaque"
Cole,Clark Dr,2008-03-01,0,K Windrem,
Cole,SBR,2008-03-01,0,Moura,
Cole,Clark Dr,2008-03-11,0,K Windrem,
Cole,Clark Dr,2008-03-16,0,Moura,
Cole,SBR,2008-03-16,0,Moura,
Cole,Clark Dr,2008-03-18,0,Moura,
Cole,Giusti property,2008-03-24,0,Giusti,
Cole,Clark Dr,2008-03-25,100,Dills,shallow water above bridge
Cole,Clark Dr,2008-03-26,75+,Dills,
Cole,Soda Bay Rd,2008-03-27,120,Moura,
Cole,Clark Dr,2008-03-29,5,Moura,
Cole,Soda Bay Rd,2008-03-29,0,Moura,
Cole,CLSP,2008-03-31,0,Moura,
Cole,Soda Bay Rd,2008-03-31,0,Moura,
Copsey,Lower Lake,2008-02-27,0,Elder ,photo
Copsey,Morgan Valley,2008-02-27,0,Elder,photo
Copsey,Lower Lake,2008-03-06,0,Elder,
Copsey`,Morgan Valley,2008-03-06,0,Elder,
Copsey`,Lower Lake,2008-03-10,0,Elder,
Copsey`,Lower Lake,2008-03-10,0,Elder,
Copsey`,Lower Lake,2008-03-20,0,Elder,
Copsey`,Lower Lake,2008-04-03,0,Elder,
Forbes,Martin st. Bridge behind fairgrounds,2008-03-04,0,Geary/Lynch,
Forbes,Behind baseball field,2008-03-05,0,Lynch/Duncan,
Hendricks,SV Rd,2008-02-16,0,Dills,"clear, low water"
Hendricks,SV Rd,2008-02-17,0,Dills,"clear, low water"
Hendricks,SV Rd,2008-02-18,0,Dills,"clear, low water"
Hendricks,SV Rd,2008-02-19,0,Dills,"clear, low water"
Hendricks,SV Rd,2008-02-20,0,Dills,"clear, low water"
Hendricks,SV Rd,2008-02-21,0,Dills,"clear, low water"
Hendricks,SV Rd,2008-02-22,0,Dills,"clear, low water"
Hendricks,SV Rd,2008-02-24,0,Dills,"overcast, bankfull"
Hendricks,SV Rd,2008-02-25,0,Dills,clear weather
Hendricks,SV Rd,2008-02-26,0,Dills,clear weather
Hendricks,SV Rd,2008-02-27,0,Dills,
Hendricks,SV Rd,2008-02-28,0,Dills,
Hendricks,SV Rd,2008-03-01,0,Dills,
Hendricks,SV Rd,2008-03-02,0,Dills,
Hendricks,SV Rd,2008-03-03,0,Dills,
Hendricks,SV Rd,2008-03-04,0,Dills,
Hendricks,SV Rd,2008-03-05,0,Dills,
Hendricks,SV Rd,2008-03-07,0,Dills,
Hendricks,SV Rd,2008-03-08,0,Dills,
Hendricks,SV Rd,2008-03-09,0,Dills,
Hendricks,SV Rd,2008-03-11,0,Dills,
Hendricks,SV Rd,2008-03-13,0,Dills,
Hendricks,SV Rd,2008-03-14,0,Dills,
Hendricks,SV Rd,2008-03-15,0,Dills,
Hendricks,SV Rd,2008-03-16,0,Dills,low water
Hendricks,SV Rd,2008-03-17,0,Dills,low water
Hendricks,SV Rd,2008-03-18,0,Dills,very low water
Hendricks,SV Rd,2008-03-27,0,Dills,
Hendricks,SV Rd,2008-03-29,0,Dills,
Hendricks,SV Rd,2008-03-30,0,Dills,
Hendricks,SV Rd,2008-03-31,0,Dills,
Hill ,Hill Creek Rd. Bridge,2008-03-04,0,Geary/Lynch,Water appears yellowish in color
Kelsey,SBR,2007-02-28,0,Windrem,
Kelsey,Merritt Rd. Bridge,2008-02-05,0,Geary/Lynch,
Kelsey,Detention Structure ,2008-02-07,0,Smythe,"clear, warm: installed hobo"
Kelsey,Soda Bay Rd,2008-02-07,0,Geary/Lynch/Combs,Old tv on bank of creek and tires in Creek
Kelsey,Soda Bay/Mostin Br,2008-02-13,0,Eutenier,"clear, brisk"
Kelsey,Soda Bay/Mostin Br,2008-02-14,0,Eutenier,"clear, brisk"
Kelsey,Soda Bay/Mostin Br,2008-02-15,0,Eutenier,"clear, brisk"
Kelsey,SBR,2008-02-15,0,Windrem,
Kelsey,Quercus ,2008-02-16,0,Smythe,"clear, warm"
Kelsey,Detention Structure ,2008-02-16,0,Smythe,"clear, warm"
Kelsey,SBR,2008-02-16,0,Windrem,
Kelsey,SBR,2008-02-17,0,Windrem,2 mallards
Kelsey,Soda Bay/Mostin Br,2008-02-18,0,Eutenier,"clear, brisk"
Kelsey,Soda Bay/Mostin Br,2008-02-19,0,Eutenier,"clear, brisk"
Kelsey,Quercus ,2008-02-20,0,Smythe,light rain
Kelsey,Soda Bay/Mostin Br,2008-02-20,0,Eutenier,"clear, brisk"
Kelsey,Quercus ,2008-02-22,0,Smythe,"mostly cloudy, cool"
Kelsey,SBR,2008-02-23,0,Windrem,
Kelsey,SBR,2008-02-25,0,Eutenier,water fast
Kelsey,Merritt Rd. Bridge,2008-02-25,0,Geary/Lynch/Combs/Mottlow,Murky and fast moving
Kelsey,Quercus ,2008-02-26,0,Smythe,"clear, warm"
Kelsey,Quercus ,2008-02-29,0,Smythe,"clear, warm"
Kelsey,SBR,2008-02-29,0,Windrem,
Kelsey,Gaddy Lane,2008-03-01,0,Moura,
Kelsey,SBR,2008-03-01,0,Moura,
Kelsey,SBR,2008-03-02,0,Windrem,
Kelsey,Soda Bay Rd,2008-03-03,0,Geary/Mottlow,
Kelsey,Quercus ,2008-03-04,0,Smythe,"clear, cold"
Kelsey,SBR,2008-03-04,0,Windrem,no ducks
Kelsey,Soda Bay Rd,2008-03-04,0,Geary/Lynch,
Kelsey,Merritt Rd. Bridge,2008-03-04,0,Geary/Lynch,No Hitch
Kelsey,Quercus ,2008-03-05,0,Smythe,"clear, cold"
Kelsey,SBR,2008-03-05,0,Eutenier,water fast
Kelsey,SBR,2008-03-05,0,Windrem,
Kelsey,Soda Bay Rd Bridge,2008-03-05,0,Lynch/Duncan,
Kelsey,SBR,2008-03-06,0,Windrem,
Kelsey,Quercus ,2008-03-07,0,Smythe,"clear, cold"
Kelsey,SBR,2008-03-09,0,Eutenier,water fast
Kelsey,Gaddy Lane,2008-03-09,0,Moura,
Kelsey,SBR,2008-03-09,0,Moura,
Kelsey,Quercus ,2008-03-10,0,Smythe,"clear, cool"
Kelsey,Soda Bay Rd,2008-03-11,300+,Windrem,
Kelsey,Quercus,2008-03-11,0,Smythe,"clear, cool"
Kelsey,Quercus,2008-03-11,100,Smythe,"clear, cool; several small schools"
Kelsey,Detention structure,2008-03-11,0,Smythe,"clear, cool"
Kelsey,SBR,2008-03-11,10,Eutenier,"""some"""
Kelsey,Quercus,2008-03-12,100,Smythe,"partly cloudy, warm; two schools noted"
Kelsey,Detention structure,2008-03-12,400,Smythe,"partly cloudy, cool; two schools downstream, none upstream"
Kelsey,Merritt,2008-03-12,0,Windrem,
Kelsey,Quercus,2008-03-13,200,Smythe,"mostly clloudy, cool; two schools noted"
Kelsey,Detention structure,2008-03-13,500,Smythe,"mostly cloudy, cool; two schools downstream, none upstream"
Kelsey,SBR,2008-03-13,400,Eutenier,4-5 schools
Kelsey,Merritt,2008-03-13,0,Windrem,1 merganser
Kelsey,Quercus,2008-03-14,200,Smythe,"mostly cloudy, cool; three schools noted. One heron and two mergansers"
Kelsey,Detention structure,2008-03-14,500,Smythe,"cloudy, cool; three schools downstream, none upstream. Three mergansers upstream"
Kelsey,SBR,2008-03-14,200,Eutenier,3-4 schools; generous egg deposit
Kelsey,Merritt,2008-03-14,500+,Windrem,"James Wright calls to say the water below bridge is ""black with hitch"""
Kelsey,Soda Bay Rd Bridge,2008-03-14,2000 +,Geary/Lynch,See suckers with the hitch
Kelsey,SBR,2008-03-15,200,Eutenier,"some going downstream; 3 large (15"" unidentified fish seen"
Kelsey,Merritt,2008-03-15,300,Windrem,
Kelsey,Merritt,2008-03-15,200,Windrem,field trip
Kelsey,Merritt,2008-03-16,200,Windrem,
Kelsey,SBR,2008-03-16,50,Moura,
Kelsey,Gaddy Lane,2008-03-16,20,Moura,
Kelsey,Merritt,2008-03-17,60,Windrem,6 mergansers
Kelsey,SBR,2008-03-17,0,Windrem,
Kelsey,Quercus,2008-03-18,0,Smythe,"mostly cloudy, cool"
Kelsey,Detention structure,2008-03-18,300,Smythe,"cloudy, cool; two schools downstream, none upstream. One merganser downstream"
Kelsey,Merritt,2008-03-18,50,Windrem,2 merganser
Kelsey,SBR,2008-03-18,0,Windrem,
Kelsey,SBR,2008-03-18,0,Moura,
Kelsey,Quercus,2008-03-19,0,Smythe,"mostly cloudy, cool; four mergansers"
Kelsey,Detention structure,2008-03-19,300,Smythe,"cloudy, cool; two schools below structure, none above"
Kelsey,SBR,2008-03-19,300,Eutenier,several groups
Kelsey,Merritt,2008-03-19,6,Windrem,6 mergansers
Kelsey,Merritt,2008-03-20,4,Windrem,1 merganser
Kelsey,Detention structure,2008-03-21,300,Smythe,"clear, cool; two schools below structure, none above; 3 mergansers downstream"
Kelsey,SBR,2008-03-21,0,Barnes/Rett,water very low
Kelsey,Mostin Rd,2008-03-21,0,Barnes/Rett,water very low
Kelsey,SBR,2008-03-21,300,Eutenier,several groups
Kelsey,Merritt,2008-03-22,0,Windrem,
Kelsey,Detention,2008-03-22,200,Windrem,
Kelsey,SBR,2008-03-22,0,Windrem ,
Kelsey,SBR,2008-03-23,250,Eutenier,a cloud of eggs
Kelsey,Quercus,2008-03-24,0,Smythe,"clear, cool"
Kelsey,Detention structure,2008-03-24,300,Smythe,"clear, cool; large school below structure"
Kelsey,Merritt,2008-03-26,100,Windrem,school halfway to Main St bridge
Kelsey,Dorn crossing,2008-03-26,100,Windrem,100 yards above crossing
Kelsey,Detention,2008-03-26,1000+,Windrem,larger than 2 days ago
Kelsey,SBR,2008-03-26,200,Windrem,new run is under way
Kelsey,Detention structure,2008-03-26,600,Smythe,"mostly cloudy, cool; fish spread 200' downstream from structure; school of 20 in structure. Removed boards blocking east fish passage. Debris still blocking grout channel below structure. Osprey"
Kelsey,Gaddy Lane,2008-03-27,30,Moura,
Kelsey,Soda Bay Rd,2008-03-27,400,Moura,
Kelsey,SBR,2008-03-27,400,Eutenier,half returning to lake
Kelsey,Detention structure,2008-03-27,80,Smythe,"clear, warm; 2 schools of 20 in structure, 40 below. Debris cleared."
Kelsey,Quercus,2008-03-28,0,Smythe,"mostly cloudy, cool; 2 GB heron, 2 mallard"
Kelsey,Detention structure,2008-03-28,100,Smythe,"mostly cloudy, cool; fish below structure. 1  osprey, 3 GB herons, 1 night crowned heron, 1 green heron, 8 mergansers"
Kelsey,Gaddy Lake,2008-03-29,0,Moura,
Kelsey,Soda Bay Rd,2008-03-29,0,Moura,
Kelsey,Merritt,2008-03-29,0,Windrem,some upstream
Kelsey,Gaddy Lane,2008-03-31,0,Moura,
Kelsey,SBR,2008-03-31,0,Eutenier,
Kelsey,Merritt,2008-04-01,0,Windrem,Malcolm reports 2 schools upstream
Kelsey,SBR,2008-04-01,0,Windrem,
Kelsey,Quercus,2008-04-01,0,Smythe,"mostly cloudy, cool"
Kelsey,Detention structure,2008-04-01,0,Smythe,"mostly cloudy, cool; 1 merganser, 1 mallard"
Kelsey,Detention structure,2008-04-04,3,Smythe,"mostly cloudy, cool; 3 mergansers, 3 mallards"
Kelsey,SBR,2008-04-05,0,Eutenier,eggs seem to be hatched
Kelsey,Detention structure,2008-04-07,0,Smythe,"clear, cold; 2 mallards & 1 GB heron"
Kelsey,SBR,2008-04-10,0,Eutenier,thousands of small fry
Kelsey,SBR,2008-04-18,0,Eutenier,many small (5mm) fry along edges of creek
Kelsey,SBR,2008-04-24,0,Eutenier,many fry -- 10-12mm
Lyons,Lakeshore,2008-02-17,0,Windrem,
Lyons,Lakeshore Dr,2008-02-27,0,Barnes/Rett,water dark rust color
Manning,Ackley,2008-03-13,0,Windrem,
Manning,S. Main,2008-03-21,0,Barnes/Rett,tributary at Hwy 175: water very low
McGaugh Slouth,Finley East,2008-02-20,0,Smythe,light rain; no sign of water movement
McGaugh Slouth,Finley East,2008-02-22,0,Smythe,"mostly cloudy, cool; turbidity increasing, appears to be decomposition of leaves, etc"
McGaugh Slouth,Finley East,2008-03-04,0,Smythe,"clear, cold; no sign of water movement, turbidity increasing"
McGaugh Slouth,Finley East,2008-03-13,0,Smythe,"mostly cloudy, cool. No sign of water movement. Water stained with tannins"
Middle,Rancheria Road Bridge,2008-02-05,0,Geary/Lynch,
Middle,Rancheria Rd,2008-02-17,0,Windrem,barrier too high for passage
Middle,1/2 mi s Hwy 20,2008-02-17,0,Kolb,great blue heron
Middle,1/2 mi s Hwy 20,2008-02-19,1 (?),Kolb,"dead, unidentified"
Middle,Hwy 20,2008-02-19,0,Kolb,
Middle,Rancheria Rd,2008-02-19,0,Kolb,
Middle,Hwy.20 Bridge,2008-03-04,0,Geary/Lynch,
Middle,,2008-03-07,5,Ruttan,questiionable: may be suckers
Middle,Hwy 20,2008-03-11,0,Smythe,"clear, warm"
Middle,Rancheria Rd,2008-03-11,0,Smythe," clear, warm. Checked all weirs, upstream weir mostly filled in, downstream weirs 50-70% filled in.  Largest ""jump"" currently upstream weir.checked all "
Middle,1/2 mi s Hwy 20,2008-03-11,1,Kolb,dead
Middle,Weir 3,2008-03-14,6,Schubert,below weir
Middle,Hwy 20,2008-03-15,0,Smythe,"Clear, warm"
Middle,Rancheria Rd,2008-03-15,0,Smythe,"Clear, warm"
Middle,Weir 3,2008-03-15,0,Smythe,"Clear, warm"
Middle,Rancheria Rd,2008-03-18,30,Smythe,upstream from bridge
Middle,Rancheria Br,2008-03-18,0,Strong,
Middle,Hwy.20 Bridge,2008-03-18,0,Geary,
Middle,Rancheria Rd,2008-03-19,0,Windrem,"boy said he saw hitch 2 days ago above Hwy 20, but none at Rancheria for several years"
Middle,Rancheria Br,2008-03-19,0,Strong,
Middle,Rancheria Br,2008-03-20,0,Strong,
Middle,Rancheria Br,2008-03-21,0,Strong,
Middle,Rancheria Br,2008-03-22,0,Strong,
Middle,Rancheria Br,2008-03-24,0,Strong,
Middle,Rancheria Br,2008-03-25,0,Strong,
Middle,1/2 mi s Hwy 20,2008-03-25,1,Kolb,dead: given to BV env office for analysis
Middle,Rancheria Br,2008-03-26,0,Strong,
Middle,Rancheria Br,2008-03-27,0,Strong,
Middle,Rancheria Br,2008-03-28,0,Strong,
Middle,Rancheria Br,2008-03-29,0,Strong,
Middle,Hwy 20,2008-04-03,0,Kolb,
Middle,Rancheria Rd,2008-04-03,0,Kolb,
Middle,1/2 mi s Hwy 20,2008-04-13,2,Kolb,dead
Middle,1/2 mi s Hwy 20,2008-04-14,8,Kolb,"3 dead, 5 dying; given to BV env office for analysis"
Molesworth,Burns Valley Rd,2008-02-21,0,Brandon,
Molesworth,Burns Valley Rd,2008-02-26,0,Brandon,
Robinson,Old Robinson Rd. Bridge,2008-02-05,0,Geary/Lynch,
Robinson,Mockingbird,2008-02-17,0,Windrem,low water
Robinson,Old Robinson Rd. Bridge,2008-03-04,0,Geary/Lynch,
Robinson,Old Robinson Rd. Bridge,2008-03-18,0,Geary,"tires,rugs and bags in creek"
Schindler,CLO Hwy 20,2008-02-07,0,Geary/Lynch/Combs,Fish ladder
Schindler,Hwy 20,2008-02-13,0,Barnes/Rett,"water running freely & clear, weather was sunny but cool & breezy. 2 dead carp at base of fish ladder"
Schindler,Hwy 20,2008-02-16,0,Barnes/Rett,sunny & clear
Schindler,4th St,2008-02-16,0,Barnes/Rett,rocks across creek but looks like fish could navigate between them
Schindler,Hwy 20,2008-02-25,0,Barnes/Rett,"rainy day, creek swift & murky: couldn't see fish even if there were any"
Schindler,Hwy 20,2008-02-27,0,Barnes/Rett,"water mostly clear & nunning, sunny day, no impediments observed"
Schindler,Hwy 20,2008-03-01,0,Barnes/Rett,cloudy & cool; water running well with no impediments
Schindler,Hwy 20,2008-03-03,0,Barnes/Rett,3 dead carp; third hand report of sighting this year; also third hand report of last sighting in 1993
Schindler,Lake St,2008-03-03,0,Barnes/Rett,
Schindler,Hwy 20,2008-03-03,0,Barnes/Rett,
Schindler,Lake St,2008-03-03,0,Barnes/Rett,
Schindler,Hwy 20,2008-03-06,0,Barnes/Rett,water running well
Schindler,Hwy 20,2008-03-11,0,Barnes/Rett,shallow water; branch across creek at fish ladder
Schindler,Hwy 20,2008-03-11,0,Barnes/Rett,water running well; some trash in creek
Schindler,Hwy 20,2008-03-14,0,Barnes/Rett,water running well; clear & cold
Schindler,Hwy 20,2008-03-17,0,Barnes/Rett,water running well; sunny
Schindler,Hwy 20,2008-03-23,0,Barnes/Rett,water low but still running
Schindler,Hwy 20,2008-03-23,0,Barnes/Rett,water low but still running; sunny
Scotts,"SV Rd, 1st Br",2008-02-25,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-02-26,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-02-27,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-02-29,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-02-29,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-03-04,0,Lundquist,
Scotts,Eickhoff,2008-03-04,0,Moura,
Scotts,"SV Rd, 1st Br",2008-03-05,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-03-09,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-03-11,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-03-13,0,Lundquist,
Scotts,Decker,2008-03-18,0,Windrem,Bob Ruddock
Scotts,Towhy,2008-03-18,0,Windrem,obstructions
Scotts,"SV Rd, 1st Br",2008-03-18,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-03-24,0,Lundquist,
Scotts,Kelly's Camp,2008-03-25,20,Pankovich,also saw a trout
Scotts,"SV Rd, 1st Br",2008-03-30,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-04-01,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-04-01,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-04-04,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-04-11,0,Lundquist,
Scotts,"SV Rd, 1st Br",2008-04-16,0,Lundquist,
Seigler,Perini Bridge,2008-02-13,0,Voegtly,Perini Rd bridge has been replaced and provides better visibility. Creek bed is gravel bottom with bedrock down stream.  No obstructions.
Seigler ,Jessie St,2008-02-21,0,Brandon,
Seigler,Jessie St,2008-02-26,0,Brandon,
Seigler,Perini Bridge,2008-02-26,0,Voegtly,
Seigler,Perini Bridge,2008-03-02,0,Voegtly,
Seigler,Jessie St,2008-03-05,0,Brandon,
Seigler,Perini Bridge,2008-03-06,0,Voegtly,"Seigler Cr clear, slight turbidity from Perini Creek"
Seigler,Perini Bridge,2008-03-07,0,Voegtly,"Seigler Cr clear, slight turbidity from Perini Creek"
Seigler,Jessie St,2008-03-08,0,Brandon,
Seigler,Jessie St,2008-03-17,0,Moura,
Seigler,Hwy 29,2008-03-31,0,Moura,
Seigler Cyn,KUSD property,2008-03-12,0,Siegel,
Seigler Cyn,Jessie St,2008-03-12,0,Siegel,
Seigler Cyn,Jessie St,2008-03-12,0,Moura,
