date,creek,location,fish,comments,observer
2012-03-22,Schindler,Konocti Rd,0,filled with weeds & debris,Barnes/Rett
2012-03-22,Seigler,Jessie St,0,"good flow, clear water",Ray
2012-03-21,Adobe,Bell Hill,0,"still no hitch here although the water is still 
                clearer. Perhaps waiting for a bit increase in the temperature.",Devoto
2012-03-21,Hendricks,Scotts Valley Rd,0,NA,Dills
2012-03-21,Kelsey,Gaddy Lane,0,moderate flow,Ravenwoode
2012-03-20,Adobe,Bell Hill,0,water a bit clearer but no hitch observed,Devoto
2012-03-20,Hendricks,Scotts Valley Rd,0,NA,Dills
2012-03-19,Adobe,SBR,0,dozen Sacramento suckers seen,Windrem
2012-03-19,Adobe,SBR,0,trickle of water,Ray
2012-03-19,Clover,Hwy 20,0,trickle of water,Ray
2012-03-19,Hendricks,Scotts Valley Rd,0,NA,Dills
2012-03-19,Middle,Rancheria Rd,0,"good flow, clear water",Ray
2012-03-18,Hendricks,Scotts Valley Rd,0,NA,Dills
2012-03-18,Seigler,Jessie St,0,"low flow, clear water",Ray
2012-03-17,Adobe,ARgonaut,0,NA,Aebly
2012-03-17,Hendricks,Scotts Valley Rd,0,NA,Dills
2012-03-17,Kelsey,SBR,0,NA,Aebly
2012-03-17,Kelsey,Main St,0,NA,Landrum
2012-03-16,Adobe,SBR,0,"good flow, murky water",Ray
2012-03-16,Clover,Hwy 20,0,"good flow, clear water",Ray
2012-03-16,Hendricks,Scotts Valley Rd,0,NA,Dills
2012-03-16,McGaugh,Big Valley Rd,0,dry creekbed filled with silt,Ravenwoode
2012-03-16,Middle,Rancheria Rd,0,"good flow, murky water",Ray
2012-03-15,Cole,SBR,0,"water turbid, still",Franson
2012-03-15,Cole,Clark Dr,0,NA,Franson
2012-03-15,Hendricks,Scotts Valley Rd,0,NA,Dills
2012-03-15,kelsey,Merritt Rd,0,NA,Franson
2012-03-15,kelsey,Dorn crossing,0,NA,Franson
2012-03-14,Adobe,SBR,0,"good flow, high turbidity",Ray
2012-03-14,Clover,Hwy 20,0,"good flow, murky water",Ray
2012-03-14,Middle,Rancheria Rd,0,"good flow, high turbidity",Ray
2012-03-14,Schindler,Konocti Rd,0,"water swiftly moving, fall of about 1 into creek, 
                light rain",Barnes/Rett
2012-03-14,Schindler,Hwy 20,0,NA,Barnes/Rett
2012-03-13,McGaugh,Big Valley Rd,0,heavy flow,Ravenwoode
2012-03-12,Adobe,Clear Lake,1000+,schools congregating off mouth of creek,Ray/Dills/Knight
2012-03-12,Adobe,SBR,0,no water,Ray
2012-03-12,Clover,Hwy 20,0,"good flow, murky water",Ray
2012-03-12,Kelsey,Clear Lake,1000+,schools congregating off mouth of creek,Ray/Dills/Knight
2012-03-12,Middle,Rancheria Rd,0,"good flow, murky water",Ray
2012-03-12,Seigler,Jessie St,0,"high turbidity, quiet flow",Ray
2012-03-08,Seigler,Perini,0,NA,Voegtly
2012-03-05,Alley,Pitney Lane,0,NA,Franson
2012-03-05,Clover Bypass,Elk Mt Rd,0,NA,Franson
2012-03-05,culvert,"Lakeshore, Nice",0,murky,Franson
2012-03-05,Middle,Rancheria Rd,0,NA,Franson
2012-03-05,Middle,Hwy 20,0,NA,Franson
2012-03-05,Scotts,Tulelake dam,0,murky,Franson
2012-03-05,Seigler,Perini,0,NA,Voegtly
2012-03-02,Adobe,SBR,0,low flow,Ray
2012-03-02,Clover,Hwy 20,0,trickle of clear water,Ray
2012-03-02,Middle,Rancheria Rd,0,good clear flow,Ray
2012-02-26,Seigler,Perini,0,NA,Voegtly
2012-02-24,Alley,Pitney Lane,0,NA,Franson
2012-02-24,Clover,Hwy 20,0,NA,Franson
2012-02-24,Clover Bypass,Elk Mt Rd,0,NA,Franson
2012-02-24,Middfle,Rancheria Rd,0,NA,Franson
2012-02-24,Scotts,Tulelake dam,0,NA,Franson
2012-02-15,Alley,Pitney Lane,0,"vegetation cleaned out, bank graded, gravelled",Franson
2012-02-15,Middle,Rancheria Rd,0,"spaced weir, 15 below bridge",Franson
2012-02-15,Robinson,Hwy 20,0,"creek slow, little water, murky",Franson
