date,time,creek,location,fish,observer,comments
2006-02-06,12PM,Manning,Soda Bay,0,Snider,NA
2006-02-06,10AM,Schindler,Hwy 20,0,Mahon,murky
2006-02-06,10:20AM,Schindler,Konocti Br,0,Mahon,murky
2006-02-06,12:30PM,Thompson (trib),S. Main/Hwy 175,0,Barnes/Rett,"""sunny; conditions looked good for hitch -- lots of sandy bottom"""
2006-02-07,8AM,Adobe,Soda Bay,500,Windrem,clear
2006-02-07,3:45PM,Adobe,Argonaut,0,Geary,NA
2006-02-07,1:45PM,Clover,2nd St,0,Geary,deep water
2006-02-07,2:20PM,Clover,Elk Mt Rd,0,Geary,fast water
2006-02-07,5:30PM,Cole,Clark Dr,0,Ishihara ,"""ditch 'cleaned out' by backhoe from last right turn till creek"""
2006-02-07,4PM,Forbes,Martin,0,Stewart,sunny day
2006-02-07,4:15PM,Forbes,Willow Point,0,Stewart,sunny day
2006-02-07,7:54AM,Kelsey,Soda Bay,0,Windrem,clear
2006-02-07,4:02PM,Kelsey,Main St,0,Geary,NA
2006-02-07,1PM,Manning,Soda Bay,0,Snider,NA
2006-02-07,1PM,Manning,Ackley,0,Snider,NA
2006-02-07,2:10PM,Middle,Rancheria Rd,0,Geary,still no fish ladder
2006-02-07,2:30PM,Middle,hwy 20,0,Geary,"fast deep water, can't see bottom"
2006-02-07,2:55PM,Robinson,Robinson Cr Br,0,Geary,calm water
2006-02-07,9:30AM,Schindler,Hwy 20,0,Mahon,murky
2006-02-07,9:50AM,Schindler,Konocti Br,0,Mahon,murky
2006-02-07,11AM,Schindler,Konocti Br,0,Barnes/Rett,"""sunny; no real obstructions but water fairly deep"""
2006-02-07,4:30PM,Seigler  Cyn,Perini Rd,0,Voegtly,clear
2006-02-08,8:25AM,Adobe,Finley East,0,Windrem,NA
2006-02-08,8:40AM,Adobe,Soda Bay,100,Windrem,clear
2006-02-08,7:30AM,Adobe,Finley East,0,Smythe,"clear, cold, water clarity 3'"
2006-02-08,2PM,Clover,First St,0,Geary,NA
2006-02-08,2:35PM,Clover,Elk Mt Rd,0,Geary,NA
2006-02-08,5:30PM,Cole,Clark Dr,0,Ishihara ,NA
2006-02-08,NA,Cole,Clark Dr,0,Eutenier,"""murky where there's any depth over a few inches, clear over the riffles"""
2006-02-08,2:30PM,Forbes,Martin,0,Stewart,sunny day
2006-02-08,3PM,Forbes,Willow Point,0,Stewart,sunny day
2006-02-08,8:30AM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-08,7:20AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cold, water clarity 3'"
2006-02-08,2PM,Manning,Ackley,0,Snider,NA
2006-02-08,2:21PM,Middle,Rancheria Rd,0,Geary,NA
2006-02-08,3PM,Robinson,Old Robinson Cr Br,0,Geary,NA
2006-02-08,9:40AM,Schindler,Hwy 20,0,Mahon,murky
2006-02-08,10AM,Schindler,Konocti Br,0,Mahon,murky
2006-02-09,10:20AM,Clover,Elk Mt Rd,0,Geary,NA
2006-02-09,5:30PM,Cole,Clark Dr,0,Ishihara ,NA
2006-02-09,5:30PM,Cole,Maes bridge,0,Ishihara ,NA
2006-02-09,8:15AM,Kelsey,Soda Bay,0,Windrem,clear
2006-02-09,2:50PM,Kelsey,Soda Bay,0,Windrem,clear
2006-02-09,1PM,Manning,Soda Bay,0,Snider,NA
2006-02-09,3PM,Manning,Soda Bay,0,Windrem,clear
2006-02-09,10AM,Middle,Hwy 20,0,Geary,NA
2006-02-09,10:35AM,Robinson,Old Robinson Cr Br,0,Geary,NA
2006-02-09,10:10AM,Schindler,Hwy 20,0,Mahon,murky
2006-02-10,8:15AM,Adobe,Finley East,0,Windrem,NA
2006-02-10,7:30AM,Adobe,Finley East,0,Smythe,"clear, cold, water clarity 3'"
2006-02-10,11AM,Clover,2nd St,0,Geary,NA
2006-02-10,NA,Cole,Clark Dr,0,Eutenier,"""murky where there's any depth over a few inches, clear over the riffles"""
2006-02-10,4:30PM,Forbes,Martin,0,Stewart,sunny day
2006-02-10,4:35PM,Forbes,Main,0,Stewart,sunny day
2006-02-10,7:20AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cold, water clarity 3'"
2006-02-10,11:23AM,Middle,Rancheria Rd,0,Geary,NA
2006-02-10,11:40AM,Robinson,Old Robinson Cr Br,0,Geary,NA
2006-02-11,4:30PM,Adobe,Soda Bay,0,Moura,NA
2006-02-11,1:30PM,Adobe,Finley East,20,Windrem,"""fish were hidden against bank"""
2006-02-11,4:15PM,Adobe,Soda Bay,80-100,Ishihara ,lake side of bridge
2006-02-11,5:02PM,Adobe,14C-2,0,Ambrose,lighting poor; good water visibility
2006-02-11,11:30AM,Burns Valley,Burns Valley Rd,0,Brandon,NA
2006-02-11,1:15PM,Clover,"Rd 301, mm0.94",0,Ambrose,"clear water, no turbidity"
2006-02-11,3:12PM,Clover,Upper Lake Bridge 14C-15,0,Ambrose,poor visibility on upstream side
2006-02-11,3:21PM,Clover,Highway 20,0,Ambrose,poor visibility; trash etc on downstream side
2006-02-11,4:30PM,Cole,Soda Bay,0,Moura,NA
2006-02-11,5PM,Cole,Soda Bay,0,Ishihara ,poor visibility
2006-02-11,4:30PM,Kelsey,Soda Bay,0,Moura,NA
2006-02-11,12PM,kelsey,Soda Bay,0,Windrem,"""hauled out 2 tires"""
2006-02-11,12:45PM,Kelsey,Main Street,0,Windrem,"""hauled out truck door"""
2006-02-11,4:35PM,Kelsey,Soda Bay,0,Ishihara ,NA
2006-02-11,5:20PM,Kelsey,14C-3B,0,Ambrose,very poor lighting; difficult to observe insteam conditions
2006-02-11,1:50PM,Middle,Bridge 14C-25,0,Ambrose,water visibility 3ft
2006-02-11,2:05PM,Middle,Rancheria Rd,0,Ambrose,visbility 3'. Downstream weir is partial barrier. Walked to newly installed rip rap weir. Poor visibility. No fish observed 200' downstream. Rip rap appears improperly sized and to act as partial barrier to migration
2006-02-11,3:35PM,Middle,Highway 20,0,Ambrose,water visibility <2'
2006-02-11,3:46PM,Scotts,9000 Scotts Cr Rd; private bridge,0,Ambrose,NA
2006-02-11,4:16PM,Scotts,Eickhoff Rd,0,Ambrose,NA
2006-02-11,4:30PM,Scotts,Hendricks,0,Ambrose,NA
2006-02-11,12PM,Seigler Canyon,Jessie St,0,Brandon,NA
2006-02-12,12PM,Adobe,NA,0,Ishihara,NA
2006-02-12,4PM,Forbes,Martin,0,Stewart,sunny day
2006-02-12,4:15PM,Forbes,Willow Point,0,Stewart,sunny day
2006-02-13,11:30AM,Adobe,Thomas Dr,100+,Snider,"""delighted to see 100+ hitch moving up the clear, nicely flowing stream!"""
2006-02-13,12:30PM,Adobe,Soda Bay,500+,Windrem,NA
2006-02-13,12:50PM,Adobe,Finley East,200,Windrem,NA
2006-02-13,12:55PM,Adobe,Hwy 29,50,Windrem,NA
2006-02-13,4:35PM,Adobe,Argonaut,25,Ickes,"""clear day but no sun on creek, clear water"""
2006-02-13,7:30AM,Adobe,Finley East,0,Smythe,"clear, cold, water clarity 3'"
2006-02-13,2:20PM,Clover,Elk Mt Rd,0,Geary,NA
2006-02-13,NA,Cole,Clark Dr,0,Eutenier,"""murky where there's any depth over a few inches, clear over the riffles"""
2006-02-13,1PM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-13,7:20AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cold, water clarity 3'"
2006-02-13,11:45AM,Manning,Soda Bay,0,Snider,NA
2006-02-13,12:40PM,Manning,Soda Bay,0,Windrem,NA
2006-02-13,1:45PM,Middle,Rancheria,0,Schubert,"""newly placed rock weirs downstream of this location had no hitch sighted either"""
2006-02-13,2PM,Middle,Rancheria Rd,0,Geary,NA
2006-02-13,2:50PM,Robinson,Old Robinson Cr Br,0,Geary,NA
2006-02-13,9:30AM,Seigler  Cyn,Jessie St,0,Voegtly,clear
2006-02-14,NA,Adobe,Argonaut,300,Snider,NA
2006-02-14,NA,Adobe,Thomas Dr,1000,Snider,in 1/4 mile stretch upstream from bridge
2006-02-14,NA,Adobe,Soda Bay,750,Snider,"""large hawk was eyeing the fish in small tree very near the water"""
2006-02-14,NA,Adobe,Merritt,0,Snider,NA
2006-02-14,10:45AM,Adobe,Argonaut,20,Geary,NA
2006-02-14,3:35PM,Adobe,Soda Bay,1000,Smythe,"clear, moderate, water clarity 3'"
2006-02-14,12PM,Burns Valley,Lakeshore Dr,0,Geary,algae
2006-02-14,2:45PM,Clover,2nd St,0,Geary,a lot of debris
2006-02-14,3PM,Clover,Elk Mt Rd,0,Geary,NA
2006-02-14,11:20AM,Copsey,Main St,0,Geary,algae
2006-02-14,3:30PM,Kelsey,Quercus Bridge,0,Smythe,"clear, moderate, water clarity 3'"
2006-02-14,NA,Manning,Soda Bay,0,Snider,NA
2006-02-14,NA,Manning,Ackley,0,Snider,NA
2006-02-14,10:05AM,Middle,Hwy 20,0,Geary,less water
2006-02-14,10:20AM,Robinson,Old Robinson Cr Br,0,Geary,less water
2006-02-14,11:15AM,Schindler,Konocti Br,0,Barnes/Rett,"""sunny, breezy; water deep & murky"""
2006-02-14,12:25PM,Schindler,Hwy 20,0,Geary,NA
2006-02-14,11:40AM,Seigler,Lake St,0,Geary,NA
2006-02-15,12PM,Adobe,Stone Dr,500,Snider,NA
2006-02-15,12PM,Adobe,Thomas Dr,250,Snider,NA
2006-02-15,12PM,Adobe,Argonaut,150,Snider,NA
2006-02-15,NA,Adobe,Soda Bay,80-100,Moura,NA
2006-02-15,NA,Cole,Clark Dr,0,Eutenier,"""murky where there's any depth over a few inches, clear over the riffles"""
2006-02-15,4PM,Forbes,Martin,0,Stewart,cold & windy
2006-02-15,4:14PM,Forbes,Willow Point,0,Stewart,cold & windy
2006-02-15,8:30AM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-15,3PM,Middle,Hwy 20,0,Geary,NA
2006-02-15,3:25PM,Robinson,Old Robinson Bridge,0,Geary,NA
2006-02-15,2:25PM,Schindler,Schindler St & 4th St,0,Barnes/Rett,"""cloudy; conditions looked good"""
2006-02-16,NA,Adobe,Argonaut,0,Snider,NA
2006-02-16,NA,Adobe,Thomas Dr,100-200,Snider,"""didn't see any at first, but up from the bridge in a sheltered slow moving stretch of water i spotted 100-200 tightly packed together. the cold seems to have a large effect on the activity"""
2006-02-16,4:50PM,Adobe,Argonaut,0,Ickes,"""clear day but no sun on creek"""
2006-02-16,7:30AM,Adobe,Finley East,0,Smythe,"clear, cold, water clarity 3'"
2006-02-16,10:47AM,Clover,Bridge Arbor Rd,0,Geary,sunny but cold
2006-02-16,3:50PM,Cole,Konocti Rd,0,Ishihara,NA
2006-02-16,4:10PM,Cole,Clark Dr,0,Ishihara,NA
2006-02-16,4:40PM,Cole,Soda Bay,0,Ishihara,water murky
2006-02-16,8:25AM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-16,7:20AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cold, water clarity 3', Installed hobo at detention structure"
2006-02-16,8:30AM,Manning,Soda Bay,0,Windrem,NA
2006-02-16,11AM,Middle,Hwy 20,0,Geary,NA
2006-02-16,11:35AM,Robinson,Old Rancheria Bridge,0,Geary,NA
2006-02-17,8:45AM,Adobe,Soda Bay,500,Windrem,NA
2006-02-17,NA,Cole,Clark Dr,0,Eutenier,"""murky where there's any depth over a few inches, clear over the riffles"""
2006-02-17,4PM,Forbes,Main,0,Stewart,"cold & cloudy, water scummy"
2006-02-17,4:15PM,Forbes,Martin,0,Stewart,"cold & cloudy, water clear"
2006-02-17,8:40AM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-18,NA,Adobe,Thomas Dr,50,Snider,"""small tight pod; cold seems to have bunched them up & slowed them down"""
2006-02-18,NA,Adobe,Argonaut,0,Snider,"""I know they are in there somewhere, just not moving like they did when it was warmer"""
2006-02-18,2:45PM,Adobe,Argonaut,0,Ickes,"""overcast, clear water"""
2006-02-18,4PM,Copsey,up to rapids,0,Arndt,"by kayak ""water clarity good"""
2006-02-18,4PM,Forbes,Main,0,Stewart,"cold & cloudy, water scummy"
2006-02-18,4:15PM,Forbes,Martin,0,Stewart,"cold & cloudy, water clear"
2006-02-18,8:40AM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-18,NA,Manning,Soda Bay,0,Snider,NA
2006-02-18,2PM,Middle,Hwy 20,0,Windrem,NA
2006-02-18,4PM,Seigler Canyon,up to rapids,0,Arndt,"by kayak ""water clarity good"""
2006-02-18,10AM,Seigler Canyon,Jessie St,0,Brandon,NA
2006-02-19,1:05PM,Adobe,Soda Bay,200,Windrem,NA
2006-02-19,1:15PM,Adobe,Finley East,200,Windrem,NA
2006-02-19,1:30PM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-20,NA,Adobe,Thomas Dr,50,Snider,"""the cold has had a large effect"""
2006-02-20,NA,Adobe,Argonaut,0,Snider,NA
2006-02-20,2PM,Adobe,Bell Hill ,0,Devoto,"""very clear flowing water"""
2006-02-20,NA,Cole,Clark Dr,0,Eutenier,"""murky where there's any depth over a few inches, clear over the riffles"""
2006-02-20,2PM,Kelsey,Merritt,0,Windrem,NA
2006-02-20,2:45PM,Kelsey,Detention,0,Windrem,NA
2006-02-20,3:15PM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-20,4PM,Kelsey,State Park,0,Windrem,NA
2006-02-20,NA,Kelsey,NA,0,Windrem/Maes,"by kayak:Kelseyville to CLSP, clear & cold"
2006-02-20,NA,Manning,NA,0,Snider,NA
2006-02-20,9:30AM,Schindler,Hwy 20,0,Mahon,water clear
2006-02-20,10AM,Schindler,Konocti Br,0,Mahon,water cloudy
2006-02-20,12:50PM,Schindler,Hwy 20,0,Barnes/Rett,"""clear & cold; conditions looked good, fish ladder OK"""
2006-02-21,10:30AM,Adobe,Thomas Dr,100,Snider,"""two groups about 1/4 milies apart. The fish seem to be stationary, the cold probably."""
2006-02-21,NA,Adobe,Argonaut,0,Snider,NA
2006-02-21,1:21PM,Adobe,Argonaut,0,Ickes,"""clear day. Some sun on creek. clear water"""
2006-02-21,1PM,Adobe,Argonaut,0,Geary,NA
2006-02-21,11:45AM,Clover,2nd St,0,Geary,calm water
2006-02-21,5PM,Cole,Konocti Rd,0,Ishihara,NA
2006-02-21,5:30PM,Cole,Clark Dr,0,Ishihara,NA
2006-02-21,6PM,Cole,Soda Bay,0,Ishihara,NA
2006-02-21,1:45PM,Copsey,Main St,0,Geary,NA
2006-02-21,12PM,Middle,Hwy 20,0,Geary,warm day
2006-02-21,12:20PM,Robinson,Old Rancheria Br,0,Geary,low water
2006-02-21,9:30AM,Schindler,Hwy 20,0,Mahon,water cloudy
2006-02-21,9:50AM,Schindler,Konocti Br,0,Mahon,water cloudy
2006-02-21,11AM,Schindler,Konocti Br,0,Barnes/Rett,"""clear & warm; water murky, deep & still"""
2006-02-21,2:05PM,Seigler,Lake St,0,Geary,NA
2006-02-22,7:30AM,Adobe,Finley East,0,Smythe,"clear, cold, water clarity 3'"
2006-02-22,1:50PM,Clover,2nd St,0,Geary,NA
2006-02-22,NA,Cole,Clark Dr,0,Eutenier,"""murky where there's any depth over a few inches, clear over the riffles"""
2006-02-22,7:20AM,Kelsey,Quercus Bridge,0,Smythe,"clear, cold, water clarity 3'"
2006-02-22,1:30PM,Middle,Hwy 20,0,Geary,NA
2006-02-22,1:10PM,Robinson,Old Rancheria Br,0,Geary,low water
2006-02-22,10:30AM,Schindler,Hwy 20,0,Mahon,water cloudy
2006-02-22,11AM,Schindler,Konocti Br,0,Mahon,water cloudy
2006-02-23,NA,Adobe,Thomas Dr,75,Snider,"""no spawning activity seen, the fish stay in tight pods"""
2006-02-23,NA,Adobe,Argonaut,0,Snider,NA
2006-02-23,3PM,Clover,2nd St,0,Geary,low water
2006-02-23,3:20PM,Clover,Bridge Arbor Rd,0,Geary,NA
2006-02-23,3:40PM,Middle,Hwy 20,0,Geary,sunny warm day
2006-02-23,4PM,Robinson,Old Rancheria Br,0,Geary,NA
2006-02-23,9:10AM,Schindler,Hwy 20,0,Mahon,water cloudy
2006-02-23,9:30AM,Schindler,Konocti Br,0,Mahon,NA
2006-02-23,1PM,Schindler,Schindler St & 4th St,0,Barnes/Rett,"""sunny & warm; looked good -- there is a lot of moss"""
2006-02-24,7:45AM,Adobe,Soda Bay,50,Windrem,NA
2006-02-24,12:30PM,Clover,Bridge Arbor Rd,0,Geary,NA
2006-02-24,NA,Cole,Clark Dr,0,Eutenier,"""murky where there's any depth over a few inches, clear over the riffles"""
2006-02-24,7:35AM,Kelsey,Soda Bay,0,Windrem,NA
2006-02-24,12:50PM,Middle,Hwy 20,0,Geary,NA
2006-02-24,1:20PM,Robinson,Old Rancheria Br,0,Geary,NA
2006-02-25,2PM,Adobe,Thomas Dr,75-100,Snider,"""under bridge; seems like the same group is just sitting there, not moving up. Walked 1/4 mile up stream but didn't see any more. Two great blue herons standing in the creek downstream from the bridge"""
2006-02-25,NA,Adobe,Argonaut,0,Snider,NA
2006-02-25,3:50PM,Adobe,Bell Hill,0,Devoto,NA
2006-02-25,5:20PM,Adobe,Merritt,0,Devoto,"""one heron flew down stream and then a moment later 4 flew in formatiion heading for the lake"""
2006-02-25,4:06PM,Hill,Holdenreid,0,Devoto,NA
2006-02-25,5:30PM,Hill,Merritt,0,Devoto,NA
2006-02-25,NA,Kelsey,NA,0,Ishihara,"by kayak: ""water incredibly clear"""
2006-02-25,NA,Manning,Soda Bay,0,Snider,"""water very sluggish with lots of algae"""
2006-02-25,3:40PM,Manning,Ackley,0,Devoto,NA
2006-02-26,11AM,Adobe,Bell Hill,0,Devoto,NA
2006-02-26,12:50PM,Adobe,Merritt Rd,0,Devoto,NA
2006-02-26,9:30AM,Cole,Green Acres,0,Rapalyea,NA
2006-02-26,12:55PM,Hill,Merritt,0,Devoto,NA
2006-02-27,7:30AM,Adobe,Finley East,0,Smythe,"raining, water clarity 0, high flow"
2006-02-27,2PM,Clover,2nd St,0,Geary,NA
2006-02-27,10:30AM,Cole,Green Acres,0,Rapalyea,"high, muddy"
2006-02-27,3:30PM,Forbes,Willow Point,0,Stewart,"rainy, water very muddy, no visibility"
2006-02-27,7:20AM,Kelsey,Quercus Bridge,0,Smythe,"raining, high flow, water clarity 0"
2006-02-27,2:20PM,Middle,Hwy 20,0,Geary,muddy water
2006-02-27,3PM,Middle,Rancheria Rd,0,Morgan,"dirty water, high flow"
2006-02-27,2:40PM,Robinson,Old Rancheria Br,0,Geary,muddy water
2006-02-28,NA,Adobe,NA,0,Snider,"no observation possible, streams high & turbulent"
2006-02-28,11AM,Clover,Elk Mt Rd,0,Geary,muddy water
2006-02-28,11:15AM,Middle,Hwy 20,0,Geary,muddy water
2006-02-28,11:40AM,Robinson,Old Rancheria Br,0,Geary,muddy water
2006-03-01,10:45AM,Cole,Green Acres,0,Rapalyea,"high, muddy"
2006-03-01,3:30PM,Forbes,Martin,0,Stewart,"rainy, water very muddy, no visibility"
2006-03-01,9:50AM,Schindler,Hwy 20,0,Barnes/Rett,"""creek below bridge murky with silt, swift & deep, scattered showers"
2006-03-02,3:30PM,Forbes,Martin,0,Stewart,"water murky, opaque after rain"
2006-03-04,2:20PM,Clover,2nd St,0,Geary,muddy water
2006-03-04,2:40PM,Middle,Rancheria Rd,0,Geary,muddy water; high water level 
2006-03-04,3PM,Robinson,Old Rancheria Br,0,Geary,muddy water; high water level 
2006-03-06,12:45PM,Schindler,Hwy 20,0,Barnes/Rett,"""water extremely rapid & full of silt, scattered showers"""
2006-03-07,3PM,Middle,Rancheria Rd,0,Morgan,"dirty water, high flow"
2006-03-08,10:57AM,Hill,Merritt,0,Devoto,NA
2006-03-08,10:55AM,McGaugh Slough,Merritt,0,Devoto,NA
2006-03-08,11AM,Schindler,Hwy 20,0,Barnes/Rett,"water rapid & silty, mostly clear weather"
2006-03-08,4:10PM,Seigler  Cyn,NA, 0,Voegtly,cloudy water
2006-03-09,3:30PM,Forbes,Martin,0,Stewart,"water murky, opaque after rain"
2006-03-11,10:05AM,Hill,Merritt,0,Devoto,"""clear water perfect for spawning"""
2006-03-11,2:30PM,Schindler,Hwy 20,0,Barnes/Rett,"rapid silty water, cloudy cold weather, ""a large gravel mound is forming on Kuehn side of bridge"""
2006-03-12,NA,Adobe,Thomas Dr,0,Snider,"""water too high & cloudy for observation"""
2006-03-12,1:15PM,Cole,Green Acres,0,Rapalyea,milky
2006-03-12,NA,Manning,Soda Bay,0,Snider,"""water too high & cloudy for observation"""
2006-03-13,2:12PM,Adobe,NA,0,Devoto,"""murky, fast flow"""
2006-03-13,1PM,Cole,Green Acres,0,Rapalyea,muddy
2006-03-13,1:58PM,Hill,Merritt,0,Devoto,"""clear water perfect for spawning"""
2006-03-13,1:56PM,McGaugh Slough,Holdenreid,0,Devoto,NA
2006-03-16,3:30PM,Forbes,Martin,0,Stewart,NA
2006-03-16,3:35PM,Forbes,Main,0,Stewart,NA
2006-03-18,3:40PM,Hill,Merritt,12,Devoto,"""There were 3-4 very small fishes in the school--perhaps they were fry who had grown up to return where they were planted.  Just below the bridge there is a substantial drop and I was a bit surprised that the fish could make it over the jump.  No fish were waiting below the jump to try to cross it.  The behavior of the fish in the school was interesting--they swam in a group from one end of the pool to the other as if they were waiting for their date with a fertile female."""
2006-03-18,3:30PM,McGaugh,Holdenreid,10-15,Devoto,"""swimming around in the large pool mostly under the bridge.  I did not observe any spawning activity"""
2006-03-19,12:30PM,Adobe,Soda Bay,0,Windrem,can't see into water
2006-03-19,12PM,Manning,Soda Bay,0,Windrem,murky
2006-03-20,2:30PM,Schindler,Hwy 20,0,Barnes/Rett,"""water at bridge rapid, deep and murky, slows down considerably at 4th St. and it is backed up from the Lake at Lake St. (which is 1 block upstream from the Konocti bridge)--weather mostly rainy."""
2006-03-20,2:40PM,Schindler,4th St,0,Barnes/Rett,"""water at bridge rapid, deep and murky, slows down considerably at 4th St. and it is backed up from the Lake at Lake St. (which is 1 block upstream from the Konocti bridge)--weather mostly rainy."""
2006-03-20,2:45PM,Schindler,Lake St,0,Barnes/Rett,"""water at bridge rapid, deep and murky, slows down considerably at 4th St. and it is backed up from the Lake at Lake St. (which is 1 block upstream from the Konocti bridge)--weather mostly rainy."""
2006-03-21,4:15PM,Hill,Holdenreid,0,Devoto,"""previous school might have swum further up stream"""
2006-03-21,4PM,McGaugh Slough,Holdenreid,0,Devoto,"""could have been hiding under bridge"""
2006-03-22,NA,Adobe,Thomas Dr,5+,Snider,"""saw fish but couldn't count because of visibility. the fish I saw were swimming rapidly near the surface, occasionally coming completely out of the water! seems like something is going on in there! my guess would be spawning. if the visibility were better I'm sure it would be quite a sight."""
2006-03-22,NA,Adobe,Argonaut,0,Snider,NA
2006-03-22,7:30AM,Adobe,Finley East,0,Smythe,"cloudy, cold, water clarity 6"". ""Turbid from high flows, two dead hitch snagged in willows in center of channel at bridge"""
2006-03-22,4:30PM,Cole,Clark Dr,0,Ishihara,cloudy on downstream side
2006-03-22,5PM,Cole,Soda Bay Rd,0,Ishihara,cloudy
2006-03-22,4PM,Cole,Konocti Rd,0,Ishihara,cloudy
2006-03-22,4:40PM,Hill,Holdenreid,0,Devoto,NA
2006-03-22,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"cloudy, cold, water clarity 6"", turbid from high flows"
2006-03-22,2PM,Manning,Soda Bay,0,Snider,"""water high but clear enough to see the bottom"""
2006-03-22,5:10PM,McGaugh,Holdenreid,0,Devoto,"""scared off two herons"""
2006-03-22,10AM,Schindler,wy 20,0,Barnes/Rett,"""water still rapid and full of silt but the upper area above bridge is fairly shallow and clear--weather mostly clear."""
2006-03-23,7:30AM,Adobe,Finley East (100' upstream),20-30,Smythe,"""observed several dozen (hard to tell with limited water visibility and distance) hitch displaying spawning behavior in Adobe Creek about 100 feet upstream of the Finley East Bridge.  I also observed a couple herons ""cruising"" the creek, apparently looking for breakfast. "" Subsequent comment: these fish could have been carp."
2006-03-23,2:30PM,Adobe,Thomas Dr,500+,Snider,"""maybe many more but the water is a bit to cloudy to see well. fish are flipping around, sometimes coming out of the water. many are very small, perhaps 4""-5"". a few are as big as i have seen, 12"" or so. a real mix of sizes."""
2006-03-23,3PM,Adobe,Argonaut,0,Snider,NA
2006-03-23,7:30AM,Adobe,Finley East,20-30,Smythe,"hazy, cool, water clarity 1'. ""observed several dozen (hard to tell with limited water visibility and distance) hitch displaying spawning behavior about 100 feet upstream of the Finley East Bridge.  I also observed a couple herons ""cruising"" the creek, apparently looking for breakfast. "" Subsequent comment: these fish could have been carp."
2006-03-23,11:30AM,Hill,Holdenreid,100,Geary,NA
2006-03-23,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"hazy, cool, water clarity 1'. Still turbid"
2006-03-23,2PM,Manning,Soda Bay,0,Snider,NA
2006-03-23,5:10PM,McGaugh Slough,Holdenreid,15-20,Devoto,"""No herons, chi circling in pool; while there another joined them swimming upstream from the vineyard"""
2006-03-24,7:25AM,Adobe,Finley East,0,Smythe,"light rain, cool, water clarity 1', 1 heron in creek"
2006-03-24,4:30PM,Hill/McGaugh,Argonaut,30,Ishihara,moving up in clumps
2006-03-24,7:15AM,Kelsey,Quercus Bridge,0,Smythe,"light rain, cool, water clarity 1'"
2006-03-24,8:15AM,Morrison,hwy 20,0,Barnes/Rett,"""creek high, water cloudy--weather, raining."""
2006-03-25,10:35AM,Adobe,Finley East,0,Windrem,high water; murky
2006-03-25,10:30AM,McGaugh,Finley East,0,Windrem,rainy; murky
