creek,location,date,time,fish,observer,comments
Adobe,Finley East Rd (upstream),2005-03-11,7:50AM,300,Smythe,"clear, warm, water clarity 3'+"
Adobe,Finley East Rd,2005-03-11,11:30AM,185,Johnson,17° C
Adobe,Soda Bay Rd,2005-03-12,9:30AM,1000+,Windrem,CC field trip
Adobe,Soda Bay Road,2005-03-12,9:49AM,400+,Kerns,NA
Adobe,Bell Hill,2005-03-12,10AM,500+,Windrem,"CC field trip, chased fish"
Adobe,Finley East Rd,2005-03-12,11:15AM,130,Johnson,NA
Adobe,Finley East Rd,2005-03-12,3:40PM,300,Johnson,NA
Adobe,Finley East Rd (upstream),2005-03-14,7:55AM,200,Smythe,"clear, warm, water clarity 3'+"
Adobe,Soda Bay Rd,2005-03-14,8:30AM,500,Windrem,fewer than on 3/12
Adobe,Finley East Rd,2005-03-14,12:07PM,53,Johnson,NA
Adobe,"Finley East Rd, downstream",2005-03-15,NA,23,Swette,water temp 62; air temp 85
Adobe,"Finley East Rd, upstream",2005-03-15,NA,8,Swette,water temp 62; air temp 85
Adobe,"Big Valley Rd, west side",2005-03-15,NA,45,Swette,water temp 62; air temp 85
Adobe,"Big Valley Rd, east side",2005-03-15,NA,15,Swette,water temp 62; air temp 85
Adobe,Finley East Rd,2005-03-15,12PM,0,Johnson,NA
Adobe,Finley East Rd,2005-03-16,12:15PM,0,Johnson,2 dead fish
Adobe,Argonaut Rd,2005-03-16,1:45PM,0,Ickes,clear
Adobe,Big Valley Rd,2005-03-16,1:49PM,0,Johnson,NA
Adobe,Finley East Rd (upstream),2005-03-21,7:45AM,0,Smythe,"cloudy, cool, water clarity 6"""
Adobe,Finley East Rd (upstream),2005-03-23,7:45AM,0,Smythe,"cloudy, cool, water clarity 0"
Adobe,Soda Bay Rd,2005-03-24,8:15AM,0,Windrem,too murky to see; heron in creek
Adobe,Soda Bay Rd,2005-03-26,8:35AM,0,Windrem,1 heron; murky
Adobe,Finley East Rd (upstream),2005-03-29,7:40AM,0,Smythe,"clear, cool, water clarity 0"
Adobe,Soda Bay Rd,2005-03-30,9:05AM,0,Windrem,too high & murky
Adobe,Soda Bay Road,2005-04-14,8AM,100,Windrem,They were moving upstream very slowly. Three mergansers and one heron were preying on them.
Adobe,Bell Hill,2005-04-15,NA,0,Devoto,NA
bridge 14c-2,Soda Bay Rd,2005-03-08,4:15PM,350,Johnson,NA
bridge 14c-65,Lakeshore Blvd,2005-03-09,12:49PM,4,Johnson,NA
Burns Valley,NA,2005-02-28,7:50AM,0,Geary,clear water
Burns Valley,behind PO,2005-03-05,1:30PM,0,Geary,NA
Clover,Upper Lake,2005-02-28,10:15AM,0,Geary,NA
Clover,Elk Mt Rd,2005-03-04,9:25AM,0,Geary,NA
Clover,Elk Mt Rd,2005-03-07,11:50AM,0,Geary,brushy -- island in middle
Clover,2nd St,2005-03-08,10:45AM,20,Geary,a lot of gravel
Clover,Middle Creek Rd,2005-03-08,10:55AM,30,Geary,a lot of gravel
Clover,Elk Mt Rd,2005-03-08,11:05,6,Geary,NA
Clover,Elk Mt Rd,2005-03-09,NA,70,Gray,NA
Clover,Main St (?),2005-03-09,NA,14,Gray,NA
Clover,Elk Mt Rd,2005-03-09,12:56PM,100+,Windrem,long line up creek
Clover,NA,2005-04-18,NA,0,Geary,NA
Clover,NA,2005-04-19,NA,0,Geary,NA
Cole,Clark Dr,2005-02-23,8AM,20,Calogianes,field near drainage ditch near Old Cole Creek; second sighting of 2005
Cole,Green Acres,2005-02-24,NA,200+,"Dills, Juntunen",on land; photos available
Cole,near Green Acres,2005-02-24,NA,100+,Dills,photo
Cole,Clark Dr,2005-02-24,8:25AM,0,Windrem,murky water
Cole,Clark Dr,2005-03-05,10:16AM,0,Johnson,NA
Cole,Clark Dr ,2005-03-05,5PM,12,Ishihara,drainage ditch between Green Acres bridge & Terri Lane; three different groups
Cole,4300 block of Clark Dr,2005-03-06,NA,12,Serrano,"in drainage ditch, not creek"
Cole,Maes,2005-03-06,7AM,0,Windrem,NA
Cole,Clark Dr,2005-03-06,7:02AM,0,Windrem,murky water
Cole,Soda Bay Rd,2005-03-06,11:55AM,0,Johnson,NA
Cole,Clark Dr ,2005-03-06,2PM,18,Ishihara,drainage ditch between Green Acres bridge & Terri Lane: 2 boys with buckets reported they had caught about 12 hitch that AM  (same location)
Cole,Green Acres,2005-03-06,2PM,18,Ishihara,confluence of ditch with creek
Cole,4300 block of Clark Dr,2005-03-07,10:30AM,71,Serrano,"drainage ditch, not in creek"
Cole,Soda Bay Rd,2005-03-07,11:45AM,0,Johnson,NA
Cole,1000 Clark Drive,2005-03-08,NA,14,Serrano,NA
Cole,Clark Dr,2005-03-08,3:39PM,24,Johnson,NA
Cole,Soda Bay Rd,2005-03-09,NA,0,Gray,no visibility
Cole,Clark Dr,2005-03-09,NA,25,Gray,low visibility
Cole,Clark Dr,2005-03-09,5:22PM,15,Johnson,NA
Cole,mouth,2005-03-11,12:12PM,0,Johnson,17° C; too deep to observe
Cole,Clark Dr,2005-03-11,12:39PM,145,Johnson,16°-17° C
Cole,Clark Dr,2005-03-13,10AM,10,Ishihara,appeared from UPSTREAM going downstream . . . Swam around pool under bridge for about 3-5 minutes. Could they have been heading back to the lake?
Cole,Clark Dr,2005-03-14,12:30PM,15,Johnson,NA
Cole,Clark Dr,2005-03-16,1:30PM,0,Johnson,1 dead fish
Cole,Clark Dr,2005-03-26,8:25AM,0,Windrem,murky water
Copsey,Main St ,2005-02-21,3PM,0,Geary,clear water
Copsey,Copsey Creek Way,2005-03-12,10AM,2,Arndt,"used to be a lot here ...water kind of murky, fine tan sediment on creek bottom"
Copsey,Copsey Creek Way,2005-03-14,NA,4,Arndt,"spawning: ""1 chased by 3 rolling in gravel"""
Forbes,Main St,2005-02-24,8:15AM,0,Windrem,NA
Hendricks,Hendricks Bridge,2005-03-09,11AM,15,Juntunen,NA
Hendricks,McVeys Bridge,2005-03-10,11:30AM,15,Juntunen,NA
Hendricks,"Hendricks Canyon, 100 yds from marker 9",2005-03-10,12PM,3,Juntunen,appeared to be spawning
Hendricks,McVeys Bridge,2005-03-10,1:15PM,100+,Juntunen,NA
Hendricks,McVeys bridge,2005-03-11,1:30PM,8,Juntunen,NA
Hill,Merritt,2005-03-01,10AM,0,Devoto,NA
Hill,Soda Bay Rd,2005-03-14,1:10PM,0,Johnson,stagnant water
Hill,Bell Hill Rd,2005-03-15,9:30AM,0,Johnson,NA
Hill,Holdenreid Rd,2005-04-15,NA,0,Devoto,NA
Kelsey,NA,NA,NA,NA,NA,NA
Kelsey,NA,NA,NA,NA,NA,NA
Kelsey,Quercus bridge (below),2005-02-02,7:40AM,0,Smythe,"clear, cold, water clarity 2'"
Kelsey,"Soda Bay Rd, upstream",2005-02-02,7:45AM,0,Smythe,"clear, cold, water clarity 2'"
Kelsey,Quercus bridge (below),2005-02-04,7:45AM,0,Smythe,"clear, cold, water clarity 2'"
Kelsey,"Soda Bay Rd, upstream",2005-02-04,7:48AM,0,Smythe,"clear, cold, water clarity 2'"
Kelsey,Quercus bridge (below),2005-02-07,7:40AM,0,Smythe,"clear, cold, water clarity 3'"
Kelsey,"Soda Bay Rd, upstream",2005-02-07,7:42AM,0,Smythe,"clear, cold, water clarity 3'"
Kelsey,Quercus bridge (below),2005-02-09,7:45AM,0,Smythe,"clear, cold, water clarity 3'"
Kelsey,"Soda Bay Rd, upstream",2005-02-09,7:47AM,0,Smythe,"clear, cold, water clarity 3'"
Kelsey,Quercus bridge (below),2005-02-14,7:45AM,0,Smythe,"cloudy, cool, water clarity 3'+"
Kelsey,"Soda Bay Rd, upstream",2005-02-14,7:48AM,0,Smythe,"clear, cold, water clarity 3'+"
Kelsey,Quercus bridge (below),2005-02-16,7:40AM,0,Smythe,"clear, water clarity 3'+"
Kelsey,"Soda Bay Rd, upstream",2005-02-16,7:45AM,0,Smythe,"clear,  water clarity 2'"
Kelsey,100 yds from CL,2005-02-20,1:22PM,1,Johnson,actually caught
Kelsey,Soda Bay Road,2005-02-20,3:40PM,0,Windrem,"high water, murky"
Kelsey,Quercus bridge (below),2005-02-21,7:45AM,0,Smythe,"clear, cool, water clarity 2'"
Kelsey,"Soda Bay Rd, upstream",2005-02-21,7:50AM,0,Smythe,"clear,  cool, water clarity 2'"
Kelsey,Quercus bridge (below),2005-02-23,7:42AM,0,Smythe,"clear, cool, water clarity 6"""
Kelsey,"Soda Bay Rd, upstream",2005-02-23,7:50AM,0,Smythe,"clear,  cool, water clarity 6"""
Kelsey,Soda Bay Rd,2005-02-24,7:35AM,0,Windrem,clear water
Kelsey,Quercus bridge (below),2005-02-25,7:45AM,20,Smythe,"clear, cool, water clarity 1'"
Kelsey,"Soda Bay Rd, upstream",2005-02-25,7:50AM,20,Smythe,"clear,  cool, water clarity 1'"
Kelsey,Soda Bay Rd,2005-02-25,12PM,0,Mostin,NA
Kelsey,Quercus bridge (below),2005-03-01,7:40AM,0,Smythe,"clear, cool, water clarity 6"" Heavy rain over weekend"
Kelsey,"Soda Bay Rd, upstream",2005-03-01,7:45AM,0,Smythe,"clear,  cool, water clarity 6"" heavy rain over weekend"
Kelsey,Quercus bridge (below),2005-03-03,7:45AM,0,Smythe,"clear, cool, water clarity 9"""
Kelsey,"Soda Bay Rd, upstream",2005-03-03,7:50AM,0,Smythe,"clear,  cool, water clarity 9"""
Kelsey,Soda Bay Rd,2005-03-04,7:20AM,14,Price,NA
Kelsey,Soda Bay Rd,2005-03-04,12:30PM,25,Mostin,downstream
Kelsey,Gaddy Lane,2005-03-05,9:55AM,0,Johnson,NA
Kelsey,Soda Bay Rd,2005-03-05,11AM,15,Mostin,NA
Kelsey,Gaddy Lane,2005-03-05,11AM,0,Johnson,NA
Kelsey,Soda Bay Rd,2005-03-05,12PM,90,Price,NA
Kelsey,Highway 29,2005-03-06,6:40AM,0,Windrem,"high water, slow"
Kelsey,Main St,2005-03-06,6:46AM,0,Windrem,NA
Kelsey,Merritt Rd,2005-03-06,6:52AM,0,Windrem,mated pair of bufflehead
Kelsey,Soda Bay Rd,2005-03-06,7:05AM,0,Windrem,clear water
Kelsey,Soda Bay Rd,2005-03-06,11:30AM,0,Price,NA
Kelsey,Soda Bay Rd,2005-03-06,12PM,0,Mostin,cloudy water
Kelsey,Soda Bay Rd,2005-03-06,12:10PM,0,Johnson,NA
Kelsey,Soda Bay Rd,2005-03-06,12:30PM,200,Cole-Lewis,NA
Kelsey,Soda Bay Rd,2005-03-06,1PM,150,Eutenier,observed farther upstream but saw no fish
Kelsey,Soda Bay Rd,2005-03-06,3PM,500+,Windrem,NA
Kelsey,Soda Bay Rd,2005-03-06,3PM,500+,Windrem,NA
Kelsey,Soda Bay Rd,2005-03-06,5PM,0,Mostin,cloudy water
Kelsey,Quercus bridge (below),2005-03-07,7:40AM,1000,Smythe,"clear, warm, water clarity 2+'"
Kelsey,"Soda Bay Rd, upstream",2005-03-07,7:45AM,200,Smythe,"clear,  warm, water clarity 2'+"
Kelsey,Soda Bay Rd,2005-03-07,11:49AM,0,Johnson,NA
Kelsey,Main St,2005-03-07,12PM,0,Devoto,none in the pools and none in the fish ladder
Kelsey,Soda Bay Rd,2005-03-07,12:30PM,500,Price,NA
Kelsey,Merritt,2005-03-08,8:36AM,0,Windrem,clear
Kelsey,BVR crossing,2005-03-08,8:40AM,0,Windrem,"clear, deep"
Kelsey,detention structure,2005-03-08,8:50AM,0,Windrem,NA
Kelsey,Soda Bay Rd,2005-03-08,8:55AM,500+,Windrem,large school
Kelsey,Soda Bay Rd,2005-03-08,11:15AM,2500-3000,Mostin,closely and evenly spaced in a 200x40 area
Kelsey,Soda Bay Rd,2005-03-08,11:15AM,2500-3000,Mostin,fish 200 X 40 thick
Kelsey,Gaddy Lane,2005-03-08,12:49PM,0,Johnson,NA
Kelsey,between the old bridge and upstream to the corner of ourproperty and that of Raymond Mostin,2005-03-08,2PM,300,Eutenier,"six separate schools. We were able to see the chi slipping through the rushing passageway between rocks and cement blocks at the old bridge, navigating what yesterday was a barrier.  This was about 1400 today.  Quite a thrill for the youngsters as well as for me. ME"
Kelsey,"slough, CLSP",2005-03-08,3:33PM,5000+,Johnson,NA
Kelsey,NA,2005-03-09,NA,NA,NA,NA
Kelsey,Merritt Rd,2005-03-09,NA,0,Gray,NA
Kelsey,Soda Bay Rd,2005-03-09,7AM,200+,Price,NA
Kelsey,Quercus bridge (below),2005-03-09,7:40AM,30,Smythe,"clear, warm, water clarity 3'+"
Kelsey,"Soda Bay Rd, upstream",2005-03-09,7:45AM,600,Smythe,"clear,  warm, water clarity 3'+"
Kelsey,Soda Bay Rd,2005-03-09,10:50AM,500,Gray,NA
Kelsey,Soda Bay Rd,2005-03-09,11AM,2000-2500,Mostin,not as closely spaced as previous day
Kelsey,NA,2005-03-09,11AM,NA,NA,NA
Kelsey,Main St,2005-03-09,11AM,0,Gray,NA
Kelsey,Soda Bay Rd,2005-03-09,11AM,2000-2500,Mostin,under bridge up stream
Kelsey,Eutenier property,2005-03-09,2PM,75,Eutenier,"in four schools; more fish were coming along fairly steadily as we watched. Addendum:  we also saw a thick cluster of hitch eggs, approximately 2' x1' and several inches deep near the 'beach' on the curve of our creek."
Kelsey,"slough, CLSP",2005-03-09,5:05PM,250,Johnson,NA
Kelsey,Gaddy Lane,2005-03-09,6PM,19,Johnson,19 fish in 15 minutes
Kelsey,Cercus bridge,2005-03-10,10:15AM,50-75,Mostin,NA
Kelsey,downstream from detention structure,2005-03-10,10:40AM,400-600,Mostin,NA
Kelsey,Soda Bay Rd,2005-03-10,11AM,2000-2500,Mostin,a few fish spawning
Kelsey,"Overcus bridge, downstream",2005-03-10,11:15AM,400-600,Mostin,moving in steady stream of fish
Kelsey,"Overcus bridge, upstream",2005-03-10,11:20AM,60-70,Mostin,fish are making it up rock bottom structure
Kelsey,300 down from detention structure,2005-03-10,11:30AM,400-600,Mostin,moving in steady stream of fish
Kelsey,above detention structure,2005-03-10,11:40AM,200-300,Mostin,fish have moved through structure; also 8-10 ducks upstream of structure
Kelsey,upstream from detention structure,2005-03-10,11:45AM,200-300,Mostin,also a flock of ducks (12-14). Fish are moving upstream past structure
Kelsey,Soda Bay Rd,2005-03-10,4:20PM,300,Price,fish spawning on bank
Kelsey,Soda Bay Rd,2005-03-11,7:30AM,300-400,Price,NA
Kelsey,Quercus bridge (below),2005-03-11,7:40AM,200,Smythe,"clear, warm, water clarity 3'+"
Kelsey,"Soda Bay Rd, upstream",2005-03-11,7:45AM,500,Smythe,"clear, warm, water clarity 3'+"
Kelsey,Soda Bay Rd,2005-03-11,11AM,2000-2500,Mostin,fewer fish at this location than previously
Kelsey,Soda Bay Rd,2005-03-11,11AM,1500-2000,Mostin,NA
Kelsey,Soda Bay Rd,2005-03-11,11:46AM,1500+,Johnson,14°-16° C; 2 common mergansers
Kelsey,"detention structure, upstream",2005-03-11,12:10PM,25,Mostin,NA
Kelsey,above detention structure,2005-03-11,12:12PM,2-3,Mostin,fish have moved upstream
Kelsey,200-300 down from detention structure,2005-03-11,12:15PM,2000-3000,Mostin,more fish up creek than before
Kelsey,"detention structure, downstream",2005-03-11,12:15PM,1500-2000,Mostin,NA
Kelsey,Merritt Rd,2005-03-11,12:20PM,2000-2500,Mostin,stacked fish downstream
Kelsey,NA,2005-03-11,12:20PM,NA,NA,NA
Kelsey,Merritt Rd,2005-03-11,12:20PM,2000-2500,Mostin,NA
Kelsey,Gaddy Lane,2005-03-11,12:54PM,255,Johnson,13°C
Kelsey,Gaddy Lane,2005-03-12,8:19AM,150,Johnson,NA
Kelsey,Soda Bay Road,2005-03-12,8:30AM,50+,Kerns,NA
Kelsey,Soda Bay Rd,2005-03-12,8:30AM,400+,Windrem,CC field trip
Kelsey,Big Valley Rd,2005-03-12,8:45AM,400,Johnson,NA
Kelsey,"Soda Bay Rd, upstream",2005-03-12,8:45AM,600,Smythe,"clear, warm, water clarity 3'+"
Kelsey,detention structure,2005-03-12,9AM,50,Windrem,CC field trip
Kelsey,Soda Bay Rd,2005-03-12,9AM,1000-1200,Mostin,less fish
Kelsey,below detention structure,2005-03-12,9:20AM,40+,Kerns,NA
Kelsey,Soda Bay Rd,2005-03-12,12PM,2000-2500,Mostin,fish run up creek later in day
Kelsey,Main St,2005-03-12,1:30PM,25,Windrem,bumping structure
Kelsey,Merritt Rd,2005-03-12,2PM,500+,Windrem,intense spawning
Kelsey,Soda Bay Rd,2005-03-12,3:30PM,1200,Johnson,NA
Kelsey,NA,2005-03-13,9:20,21,Norris,The air temp was 59 degrees at 9:20am and 62 degrees at 10:30am.
Kelsey,NA,2005-03-13,3PM,NA,NA,NA
Kelsey,Mostin Indian site,2005-03-13,3PM,400-500,Mostin,NA
Kelsey,Quercus bridge (below),2005-03-14,7:40AM,100,Smythe,"clear, warm, water clarity 3'+"
Kelsey,"Soda Bay Rd, upstream",2005-03-14,7:45AM,200,Smythe,"clear, warm, water clarity 3'+"
Kelsey,Main St,2005-03-14,8:10AM,0,Windrem,NA
Kelsey,Merritt Rd,2005-03-14,8:15AM,200,Windrem,NA
Kelsey,Mostin Indian site,2005-03-14,9AM,100,Mostin,72 air temp; 55 water
Kelsey,Gaddy Lane,2005-03-14,12:17PM,110,Johnson,NA
Kelsey,Soda Bay Rd,2005-03-14,1PM,1350,Johnson,NA
Kelsey,Soda Bay Rd,2005-03-14,2:30PM,600-700,Mostin,NA
Kelsey,Main St,2005-03-15,9:45AM,0,Johnson,no fish above fish ladder
Kelsey,Gaddy Lane,2005-03-15,9:56AM,100,Johnson,NA
Kelsey,Mostin Indian site,2005-03-15,11AM,900,Mostin,"67 air temp, 53 water"
Kelsey,Soda Bay Rd,2005-03-15,11:41AM,800,Johnson,NA
Kelsey,Soda Bay Rd,2005-03-16,12:10PM,400,Mostin,NA
Kelsey,Soda Bay Rd,2005-03-16,12:20PM,0,Johnson,1 dead fish
Kelsey,Gaddy Lane,2005-03-16,1:45PM,0,Johnson,NA
Kelsey,Mostin Indian site,2005-03-16,3PM,0,Mostin,"71 air temp, 52 water"
Kelsey,Mostin Indian site,2005-03-17,9:30AM,0,Mostin,"60 air temp, 52 water"
Kelsey,Soda Bay Rd,2005-03-18,12PM,0,Mostin,"52 air temp, 48 water"
Kelsey,NA,2005-03-18,12:15PM,NA,NA,NA
Kelsey,Mostin Indian site,2005-03-18,12:15PM,0,Mostin,"52 air temp, 48 water"
Kelsey,Soda Bay Rd,2005-03-20,10:30AM,0,Mostin,"56 air temp, 47 water"
Kelsey,Quercus bridge (below),2005-03-21,7:45AM,0,Smythe,"cloudy, cool, water clarity 6"""
Kelsey,"Soda Bay Rd, upstream",2005-03-21,7:45AM,0,Smythe,"cloudy, cool, water clarity 6"""
Kelsey,Quercus bridge (below),2005-03-23,7:45AM,0,Smythe,"cloudy, cool, water clarity 0"
Kelsey,"Soda Bay Rd, upstream",2005-03-23,7:45AM,0,Smythe,"cloudy, cool, water clarity 0"
Kelsey,Soda Bay Rd,2005-03-25,1:30PM,0,Mostin,"58 air temp, 48 water"
Kelsey,Soda Bay Rd,2005-03-26,8:30AM,0,Windrem,3 mergansers
Kelsey,Quercus bridge (below),2005-03-29,7:40AM,0,Smythe,"clear, cool, water clarity 0"
Kelsey,"Soda Bay Rd, upstream",2005-03-29,7:40AM,0,Smythe,"clear, cool, water clarity 0"
Kelsey,Soda Bay Rd,2005-03-29,10:30AM,0,Mostin,"58 air temp, 48 water"
Kelsey,Soda Bay Rd,2005-03-30,8:30AM,0,Mostin,NA
Kelsey,Quercus bridge (below),2005-03-31,7:40AM,0,Smythe,"clear, cool, water clarity 6"""
Kelsey,Quercus bridge (below),2005-04-04,7:40AM,0,Smythe,"clear, cool, water clarity 6"""
Kelsey,Soda Bay Rd,2005-04-05,4:30PM,0,Mostin,"62 air temp, 52 water"
Kelsey,Quercus bridge (below),2005-04-06,7:45AM,0,Smythe,"clear, cool, water clarity 3'"
Kelsey,Mostin Indian site,2005-04-06,2PM,0,NA,NA
Kelsey,Mostin Indian site,2005-04-06,2PM,5,Mostin,"73 air temp, 53 water"
Kelsey,Mostin Indian site,2005-04-07,NA,0,Mostin,raining
Kelsey,Mostin Indian site,2005-04-09,2:05 PM,0,Mostin,"57 air temp, 47 water. cloudy"
Kelsey,Mostin Indian site,2005-04-10,3:30PM,0,Mostin,"61 air temp, 49 water. clear"
Kelsey,Mostin Indian site,2005-04-13,11AM,0,Mostin,"52 air temp, 48 water. clear"
Kelsey,Quercus bridge (below),2005-04-14,4:30PM,0,Smythe,"clear, cool, water clarity 4' "
Kelsey,detention structure,2005-04-14,4:30PM,0,Smythe,NA
Kelsey,"Soda Bay Rd, upstream",2005-04-14,4:30PM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey,detention structure,2005-04-14,4:30PM,0,Smythe,"c lear, cool, water clarity 4'"
Kelsey,"Quercus bridge, upstream",2005-04-15,8:15AM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey,"Soda Bay Rd, upstream",2005-04-15,8:15AM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey,detention structure,2005-04-15,8:15AM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey,Soda Bay Rd,2005-04-18,NA,0,Eutenier,NA
Kelsey,"Quercus bridge, upstream",2005-04-18,7:55AM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey,Lakeside Park,2005-04-18,9AM,3-4+,Eutenier,Vigorous splashingcaught my attention and I could see 3 or 4 fishes' backs as they thrashedaround in the shallow water
Kelsey,Mostin Indian site,2005-04-19,11AM,0,Mostin,"58 air temp, 52 water, clear"
Kelsey," Quercus bridge, upstream",2005-04-20,7:40AM,0,Smythe,"clear, cool, water clarity 4' otter in creek"
Kelsey,Mostin Indian site,2005-04-20,2:15PM,0,Mostin,"64 air temp, 51 water"
Kelsey," Quercus bridge, upstream",2005-04-22,7:40AM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey,Mostin Indian site,2005-04-22,11AM,0,Mostin,"62 air tempt, 53 water"
Kelsey," Quercus bridge, upstream",2005-04-25,7:40AM,0,Smythe,"clear, cool, water clarity 4' great blue heron"
Kelsey,Mostin Indian site,2005-04-26,12PM,0,Mostin,"65 air temp, 53 water"
Kelsey," Quercus bridge, upstream",2005-04-27,7:40AM,0,Smythe,"clear, cool, water clarity 4'"
Kelsey,Mostin Indian site,2005-04-28,1:45PM,0,Mostin,"62 air temp, 53 water"
